Dataset name: Old World Drought Atlas
Dataset details: owda v.1_0_0 pdsi jja
Method(s): ['OWDA']
Lat/lon or region: 42.75 degN 21.25 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/19419
New reference period: none
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: Palmer Drought Severity Index (PDSI)
---
Year (CE),OWDA mean (PDSI)
1248.00,-0.19
1249.00,2.88
1250.00,2.14
1251.00,-0.31
1252.00,1.11
1253.00,-0.38
1254.00,-0.46
1255.00,0.32
1256.00,-1.91
1257.00,-0.41
1258.00,-0.29
1259.00,0.46
1260.00,1.41
1261.00,1.72
1262.00,-0.91
1263.00,-0.61
1264.00,0.46
1265.00,-0.85
1266.00,3.18
1267.00,4.84
1268.00,0.80
1269.00,1.44
1270.00,0.20
1271.00,1.12
1272.00,0.89
1273.00,-0.81
1274.00,0.70
1275.00,-0.89
1276.00,0.70
1277.00,2.85
1278.00,1.00
1279.00,2.02
1280.00,1.93
1281.00,2.63
1282.00,1.48
1283.00,2.96
1284.00,-0.15
1285.00,-1.00
1286.00,1.48
1287.00,0.38
1288.00,-0.42
1289.00,0.22
1290.00,2.10
1291.00,0.88
1292.00,2.06
1293.00,0.72
1294.00,-0.05
1295.00,1.84
1296.00,-0.76
1297.00,-0.60
1298.00,-0.53
1299.00,1.47
1300.00,1.19
1301.00,-0.12
1302.00,2.63
1303.00,2.19
1304.00,-0.38
1305.00,-0.08
1306.00,-0.04
1307.00,-0.34
1308.00,1.40
1309.00,0.84
1310.00,0.52
1311.00,2.10
1312.00,-3.24
1313.00,-1.42
1314.00,-1.07
1315.00,-0.03
1316.00,-1.31
1317.00,-1.96
1318.00,-2.00
1319.00,-3.67
1320.00,-3.47
1321.00,-2.65
1322.00,-3.08
1323.00,-2.90
1324.00,-5.28
1325.00,-3.26
1326.00,-1.45
1327.00,-1.29
1328.00,-2.14
1329.00,-0.65
1330.00,3.79
1331.00,0.34
1332.00,1.30
1333.00,-2.78
1334.00,-2.04
1335.00,-1.15
1336.00,-0.23
1337.00,-0.50
1338.00,0.87
1339.00,0.12
1340.00,1.47
1341.00,2.43
1342.00,2.24
1343.00,4.06
1344.00,2.93
1345.00,3.93
1346.00,4.01
1347.00,3.12
1348.00,5.18
1349.00,2.78
1350.00,3.15
1351.00,2.69
1352.00,3.66
1353.00,2.00
1354.00,1.73
1355.00,-0.09
1356.00,-0.23
1357.00,2.55
1358.00,2.75
1359.00,-0.99
1360.00,-0.59
1361.00,-0.76
1362.00,-2.83
1363.00,-2.11
1364.00,-1.48
1365.00,0.55
1366.00,-2.46
1367.00,-1.43
1368.00,-0.61
1369.00,-0.63
1370.00,-0.13
